Launch Id,Launch Time,Launch Status,Rocket Name,Rocket Organisation,Location,Launch Year
68,2019-03-02 07:49:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019
69,2019-01-11 15:31:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2019
73,2019-06-25 06:30:00+00:00,Success,Falcon Heavy,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019
72,2019-06-12 14:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2019
82,2020-05-30 19:22:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
83,2019-05-04 06:48:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
84,2020-06-30 20:10:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
85,2019-08-06 23:23:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
86,2019-04-11 22:35:00+00:00,Success,Falcon Heavy,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2019
89,2019-07-25 22:01:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
90,2020-08-30 23:18:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
92,2019-12-17 00:10:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
93,2020-12-13 17:30:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
94,2021-06-06 04:26:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
95,2019-12-05 17:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
96,2021-06-17 16:09:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
98,2020-03-07 04:50:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
99,2021-01-08 02:15:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
100,2020-11-21 17:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2020
101,2020-11-05 23:24:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020
104,2021-12-19 03:58:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021
109,2021-06-03 17:29:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021
108,2020-12-06 16:17:00+00:00,Success,Falcon 9 Block 5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020
119,2019-08-19 12:12:00+00:00,Success,Electron/Curie,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2019
138,2019-01-19 19:10:00+00:00,Success,Delta IV Heavy,ULA,"SLC-6, Vandenberg SFB, California, USA",2019
139,2020-12-11 01:09:00+00:00,Success,Delta IV Heavy,ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2020
140,2021-04-26 20:47:00+00:00,Success,Delta IV Heavy,ULA,"SLC-6, Vandenberg SFB, California, USA",2021
170,2019-12-20 11:36:00+00:00,Success,Atlas V N22,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2019
262,2019-10-11 01:59:00+00:00,Success,Pegasus XL,Northrop,"Stargazer, Cape Canaveral SFS, Florida, USA",2019
361,2021-06-15 13:35:00+00:00,Success,Minotaur I,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2021
366,2019-12-26 23:11:00+00:00,Success,Rokot/Briz KM,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",2019
372,2019-04-17 20:46:00+00:00,Success,Antares 230,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019
373,2019-11-02 13:59:00+00:00,Success,Antares 230+,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2019
374,2019-11-13 03:40:00+00:00,Success,Kuaizhou 1A,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2019
382,2019-02-21 16:47:00+00:00,Success,Soyuz 2.1b/Fregat-M,VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2019
383,2021-02-28 06:55:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021
384,2019-07-05 05:41:00+00:00,Success,Soyuz 2.1b/Fregat-M,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2019
387,2019-08-08 10:13:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2019
388,2020-03-26 20:18:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
389,2020-02-10 04:03:00+00:00,Success,Atlas V 411,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
390,2021-12-07 10:19:00+00:00,Success,Atlas V 551,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021
391,2020-05-17 13:14:00+00:00,Success,Atlas V 501,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
400,2020-11-13 22:32:00+00:00,Success,Atlas V 531,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
399,2020-07-30 11:50:00+00:00,Success,Atlas V 541,ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020
401,2021-09-27 18:12:00+00:00,Success,Atlas V 401,ULA,"SLC-3E, Vandenberg SFB, California, USA",2021
406,2019-03-22 01:50:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2019
407,2020-09-03 01:51:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020
409,2020-11-17 01:52:00+00:00,Failure,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020
411,2019-07-11 01:53:00+00:00,Failure,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2019
412,2020-12-02 01:33:00+00:00,Success,Soyuz ST-A/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020
414,2021-04-29 01:50:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021
415,2021-11-16 09:27:00+00:00,Success,Vega,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021
426,2019-06-20 21:43:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
428,2019-08-06 19:30:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
429,2019-11-26 21:23:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
430,2021-07-30 21:00:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021
431,2020-02-18 22:18:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020
436,2020-08-15 22:04:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020
434,2020-01-16 21:05:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2020
439,2021-12-25 12:20:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021
441,2021-10-24 02:10:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021
461,2019-01-18 00:50:00+00:00,Success,Epsilon PBS,JAXA,"Mu Pad, Uchinoura Space Center, Japan",2019
462,2021-11-09 00:55:00+00:00,Success,Epsilon PBS,JAXA,"Mu Pad, Uchinoura Space Center, Japan",2021
463,2019-09-24 16:05:00+00:00,Success,H-IIB,MHI,"LA-Y2, Tanegashima Space Center, Japan",2019
542,2019-12-18 08:54:00+00:00,Success,Soyuz ST-A/Fregat-M,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2019
561,2019-03-16 00:26:00+00:00,Success,"Delta IV Medium+ (5,4)",ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2019
562,2019-08-22 13:06:00+00:00,Success,"Delta IV Medium+ (4,2)",ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2019
618,2019-07-22 09:13:00+00:00,Success,GSLV Mk III,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2019
625,2019-02-22 01:45:00+00:00,Success,Falcon 9 Block 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2019
661,2019-09-22 21:10:00+00:00,Success,Long March 3B/YZ-1,CASC,"LC-2, Xichang Satellite Launch Center, China",2019
662,2019-12-16 07:22:00+00:00,Success,Long March 3B/YZ-1,CASC,"LC-3, Xichang Satellite Launch Center, China",2019
666,2019-12-24 12:03:00+00:00,Success,Proton-M/DM-3,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2019
704,2020-05-25 19:50:00+00:00,Failure,LauncherOne,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2020
750,2019-02-05 21:01:00+00:00,Success,Ariane 5 ECA,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2019
